DWHName,IncomingFileName,FriendlyName,FileType,Affiliate,Brand,Data Granularity,Data Owner,Vendor Name,VendorContact,Source System Name,PullType,Data Business Owner,Data Technical Owner,Data Type,SubDataType,Data Set Description,File Location,LocatedIn,File Current Status,Deactivation Date,Reason For Deactivation,When is the File Sent,Load Frequency,File Pre Processed,Landing Zone Table Name,Transformation Layer Table Name,Reporting Layer table Name,Comment
Japan Datawarehouse,All Brands_455_Sales_weekly,All Brands 455 Sales Weekly,csv,France,All Brands,"Brand, TA, Region, Units, Price",Sridhar,IQVIA,iqvia547@veeva.com,Veeva CRM,Manual,lakshya235@veeva.com,johanna@dr.com712@vendor.net,Sales Data,Regional Sales Data,"Contains sales data for All Brands in France, with fields: price, volume, revenue.",s3/sales/allbrands/france/,s3,Pilot,,,End of Quarter,Weekly,Yes,all_brands_france_sales_z,all_brands_sales_weekly_xform,all_brands_sales_france_metric_rpt,Schema change expected next quarter
Global Datawarehouse,Diab_1_456_Engagement_weekly,Diab 1 456 Engagement Weekly,csv,US,Diab_1,"Brand, Engagement, Revenue, Region",Sridhar,IQVIA,iqvia831@dr.com,Veeva CRM,Automated,jones@dr.com31@iqvia.com,johanna@dr.com456@company.com,Engagement Data,Regional Sales Data,"Contains engagement data for Diab_1 in US, with fields: price, volume.",adls/engagement/diab_1/us/,s3,Inactive,11/07/2023,Contract expired on 11/07/2023,End of Quarter,Weekly,No,diab_1_us_engagement_z,diab_1_engagement_weekly_xform,diab_1_engagement_us_metrics_rpt,This file is set to expire by end of 2025
Japan Datawarehouse,Dermalix_457_Engagement_weekly,Dermalix 457 Engagement Weekly,psv,Turkey,Dermalix,"Revenue, Volume, TA",Lakshya Mishra,Veeva,veeva340@company.com,IQVIA,API Pull,smith@dr.com353@iqvia.com,johanna@dr.com653@dr.com,Engagement Data,Weekly Rep HCP Engagement Data,"Contains engagement data for Dermalix in Turkey, with fields: price, revenue.",s3/engagement/dermalix/turkey/,s3,Active,,,Monthly,Weekly,Yes,dermalix_turkey_engagement_z,dermalix_engagement_weekly_xform,dermalix_engagement_turkey_met_rpt,New processing pipeline in progress
US Datawarehouse,Diab_1_458_Engagement_qtr,Diab 1 458 Engagement Qtr,psv,Turkey,Diab_1,"TA, Units, Rep",Sridhar,IQVIA,iqvia145@company.com,Veeva CRM,SFTP Drop,johanna577@iqvia.com,johanna@dr.com397@company.com,Engagement Data,Regional Sales Data,"Contains engagement data for Diab_1 in Turkey, with fields: hcp, price.",s3/engagement/diab_1/turkey/,s3,Active,,,End of Quarter,Quarterly,Yes,diab_1_turkey_engagement_z,diab_1_engagement_quarterly_xform,diab_1_engagement_turkey_metri_rpt,PII masked at source
LATAM Datawarehouse,All Brands_459_Engagement_qtr,All Brands 459 Engagement Qtr,xlsx,US,All Brands,"Country, Price, HCP",Sridhar,Veeva,veeva829@veeva.com,IQVIA,Automated,ananya177@iqvia.com,johanna@dr.com275@iqvia.com,Engagement Data,Regional Sales Data,"Contains engagement data for All Brands in US, with fields: region, revenue.",s3/engagement/allbrands/us/,s3,Inactive,05/01/2024,Contract expired on 05/01/2024,Monthly,Quarterly,Yes,all_brands_us_engagement_z,all_brands_engagement_quarterl_xform,all_brands_engagement_us_metri_rpt,New processing pipeline in progress
Global Datawarehouse,Diab_1_460_Inventory_monthly,Diab 1 460 Inventory Monthly,psv,Turkey,Diab_1,"Revenue, Region, Units, HCP",Johanna,Veeva,veeva898@vendor.net,Oracle EBS,Manual,smith@dr.com888@vendor.net,johanna@dr.com461@dr.com,Inventory Data,Weekly Rep HCP Engagement Data,"Contains inventory data for Diab_1 in Turkey, with fields: ta, region, volume, price.",adls/inventory/diab_1/turkey/,s3,Inactive,10/06/2024,Contract expired on 10/06/2024,Middle of month,Monthly,Yes,diab_1_turkey_inventory_z,diab_1_inventory_monthly_xform,,Schema change expected next quarter
US Datawarehouse,Diab_1_461_Claims_weekly,Diab 1 461 Claims Weekly,psv,Turkey,Diab_1,"Revenue, Brand, Country, TA",Sridhar,IQVIA,iqvia435@vendor.net,Veeva CRM,Manual,jones@dr.com937@iqvia.com,lakshya961@vendor.net,Claims Data,Regional Sales Data,"Contains claims data for Diab_1 in Turkey, with fields: price, volume, region.",gcs/claims/diab_1/turkey/,s3,Active,,,End of Quarter,Weekly,Yes,diab_1_turkey_claims_z,diab_1_claims_weekly_xform,diab_1_claims_turkey_metrics_rpt,PII masked at source
US Datawarehouse,Respira_462_Sales_qtr,Respira 462 Sales Qtr,csv,US,Respira,"Units, HCP, Region, Revenue",Miguel,IQVIA,iqvia859@iqvia.com,IQVIA,Automated,chen996@veeva.com,johanna@dr.com739@iqvia.com,Sales Data,Weekly Rep HCP Engagement Data,"Contains sales data for Respira in US, with fields: ta, engagement.",gcs/sales/respira/us/,s3,Inactive,06/09/2024,Contract expired on 06/09/2024,Monthly,Quarterly,No,respira_us_sales_z,respira_sales_quarterly_xform,,Schema change expected next quarter
US Datawarehouse,All Brands_463_Engagement_weekly,All Brands 463 Engagement Weekly,csv,US,All Brands,"Region, Engagement, Brand, Revenue, Units",Lakshya Mishra,Veeva,veeva789@veeva.com,IQVIA,Manual,smith@dr.com329@veeva.com,johanna@dr.com434@company.com,Engagement Data,Campaign Metrics,"Contains engagement data for All Brands in US, with fields: engagement, volume.",gcs/engagement/allbrands/us/,s3,Inactive,07/10/2024,Contract expired on 07/10/2024,Beginning of week,Weekly,No,all_brands_us_engagement_z,all_brands_engagement_weekly_xform,all_brands_engagement_us_metri_rpt,Schema change expected next quarter
Global Datawarehouse,All Brands_464_Engagement_qtr,All Brands 464 Engagement Qtr,xlsx,US,All Brands,"Region, Revenue, Country",Jones,IQVIA,iqvia524@iqvia.com,Veeva CRM,Manual,jones@dr.com312@iqvia.com,johanna@dr.com372@veeva.com,Engagement Data,Regional Sales Data,"Contains engagement data for All Brands in US, with fields: revenue, ta, hcp, engagement.",gcs/engagement/allbrands/us/,gcs,Deprecated,04/20/2023,Replaced by new pipeline on 04/20/2023,Monthly,Quarterly,No,all_brands_us_engagement_z,all_brands_engagement_quarterl_xform,all_brands_engagement_us_metri_rpt,Backfill required for last 3 months
Japan Datawarehouse,Dermalix_465_Inventory_qtr,Dermalix 465 Inventory Qtr,psv,Brazil,Dermalix,"Units, TA, Engagement, Region, HCP",Sridhar,IQVIA,iqvia736@vendor.net,Salesforce,Manual,smith@dr.com217@vendor.net,johanna@dr.com974@veeva.com,Inventory Data,Regional Sales Data,"Contains inventory data for Dermalix in Brazil, with fields: region, rep, revenue, hcp.",gcs/inventory/dermalix/brazil/,s3,Active,,,End of Quarter,Biweekly,No,dermalix_brazil_inventory_z,dermalix_inventory_biweekly_xform,dermalix_inventory_brazil_metr_rpt,Backfill required for last 3 months
Japan Datawarehouse,All Brands_466_Inventory_daily,All Brands 466 Inventory Daily,csv,India,All Brands,"Rep, Brand, Volume",Sridhar,Veeva,veeva860@dr.com,IQVIA,Automated,ananya925@veeva.com,johanna@dr.com886@vendor.net,Inventory Data,Regional Sales Data,"Contains inventory data for All Brands in India, with fields: volume, ta, revenue.",adls/inventory/allbrands/india/,s3,Inactive,04/02/2023,Contract expired on 04/02/2023,End of week,Daily,No,all_brands_india_inventory_z,all_brands_inventory_daily_xform,,Backfill required for last 3 months
Global Datawarehouse,All Brands_467_Engagement_qtr,All Brands 467 Engagement Qtr,csv,US,All Brands,"HCP, Country, Revenue, Volume, Units",Lakshya Mishra,Veeva,veeva765@company.com,IQVIA,Automated,jones@dr.com624@iqvia.com,chen277@dr.com,Engagement Data,Regional Sales Data,"Contains engagement data for All Brands in US, with fields: engagement, price.",s3/engagement/allbrands/us/,s3,Active,,,End of week,Quarterly,No,all_brands_us_engagement_z,all_brands_engagement_quarterl_xform,all_brands_engagement_us_metri_rpt,New processing pipeline in progress
Global Datawarehouse,CardioX_468_Engagement_monthly,Cardiox 468 Engagement Monthly,csv,Japan,CardioX,"Price, Brand, Engagement",Jones,IQVIA,iqvia308@vendor.net,IQVIA,Manual,jones@dr.com529@dr.com,ananya345@vendor.net,Engagement Data,Weekly Rep HCP Engagement Data,"Contains engagement data for CardioX in Japan, with fields: rep, revenue.",gcs/engagement/cardiox/japan/,s3,Active,,,Monthly,Monthly,Yes,cardiox_japan_engagement_z,cardiox_engagement_monthly_xform,cardiox_engagement_japan_metri_rpt,PII masked at source
Global Datawarehouse,Diab_1_469_Engagement_weekly,Diab 1 469 Engagement Weekly,csv,South Korea,Diab_1,"Engagement, Country, Region, Brand",Lakshya Mishra,Veeva,veeva507@vendor.net,IQVIA,Manual,smith@dr.com271@iqvia.com,johanna@dr.com928@company.com,Engagement Data,Weekly Rep HCP Engagement Data,"Contains engagement data for Diab_1 in South Korea, with fields: rep, engagement, hcp.",adls/engagement/diab_1/southkorea/,s3,Active,,,Beginning of week,Weekly,No,diab_1_south_korea_engagement_z,diab_1_engagement_weekly_xform,diab_1_engagement_south_korea_rpt,This file is set to expire by end of 2025
EU Datawarehouse,Dermalix_470_Engagement_monthly,Dermalix 470 Engagement Monthly,psv,Turkey,Dermalix,"Price, Revenue, TA",Sridhar,Veeva,veeva759@vendor.net,IQVIA,SFTP Drop,smith@dr.com944@company.com,johanna@dr.com309@company.com,Engagement Data,Regional Sales Data,"Contains engagement data for Dermalix in Turkey, with fields: hcp, rep, price, ta.",adls/engagement/dermalix/turkey/,s3,Deprecated,05/17/2023,Replaced by new pipeline on 05/17/2023,Monthly,Monthly,No,dermalix_turkey_engagement_z,dermalix_engagement_monthly_xform,dermalix_engagement_turkey_met_rpt,This file is set to expire by end of 2025
US Datawarehouse,All Brands_471_Sales_weekly,All Brands 471 Sales Weekly,parquet,US,All Brands,"Volume, HCP, Brand, Price, Engagement",Akira,Veeva,veeva195@iqvia.com,Veeva CRM,Manual,ananya308@dr.com,johanna@dr.com199@company.com,Sales Data,Campaign Metrics,"Contains sales data for All Brands in US, with fields: price, hcp, engagement, ta.",adls/sales/allbrands/us/,s3,Inactive,08/02/2024,Contract expired on 08/02/2024,Middle of month,Weekly,Yes,all_brands_us_sales_z,all_brands_sales_weekly_xform,all_brands_sales_us_metrics_rpt,PII masked at source
Japan Datawarehouse,Dermalix_472_Inventory_weekly,Dermalix 472 Inventory Weekly,csv,Germany,Dermalix,"HCP, Price, Volume, Revenue, Country",Lakshya Mishra,Snowflake External,snowflake98@vendor.net,Veeva CRM,Automated,jones@dr.com110@iqvia.com,johanna@dr.com488@iqvia.com,Inventory Data,Weekly Rep HCP Engagement Data,"Contains inventory data for Dermalix in Germany, with fields: revenue, hcp, volume.",adls/inventory/dermalix/germany/,s3,Inactive,03/16/2024,Contract expired on 03/16/2024,Monthly,Weekly,Yes,dermalix_germany_inventory_z,dermalix_inventory_weekly_xform,dermalix_inventory_germany_met_rpt,Backfill required for last 3 months
EU Datawarehouse,Diab_1_473_Engagement_qtr,Diab 1 473 Engagement Qtr,json,Turkey,Diab_1,"Country, HCP, Units",Lakshya Mishra,IQVIA,iqvia846@vendor.net,IQVIA,Automated,jones@dr.com723@vendor.net,johanna@dr.com789@veeva.com,Engagement Data,Regional Sales Data,"Contains engagement data for Diab_1 in Turkey, with fields: hcp, rep.",s3/engagement/diab_1/turkey/,adls,Active,,,End of Quarter,Quarterly,No,diab_1_turkey_engagement_z,diab_1_engagement_quarterly_xform,,New processing pipeline in progress
Japan Datawarehouse,Diab_1_474_Sales_daily,Diab 1 474 Sales Daily,psv,US,Diab_1,"Brand, Volume, HCP",Lakshya Mishra,Veeva,veeva71@vendor.net,Veeva CRM,Automated,smith189@company.com,chen612@veeva.com,Sales Data,Weekly Rep HCP Engagement Data,"Contains sales data for Diab_1 in US, with fields: price, revenue, region, hcp.",adls/sales/diab_1/us/,s3,Inactive,03/07/2024,Contract expired on 03/07/2024,Middle of month,Daily,Yes,diab_1_us_sales_z,diab_1_sales_daily_xform,diab_1_sales_us_metrics_rpt,This file is set to expire by end of 2025
US Datawarehouse,Diab_1_475_Engagement_weekly,Diab 1 475 Engagement Weekly,csv,US,Diab_1,"Country, TA, Volume, Region",Lakshya Mishra,Veeva,veeva691@vendor.net,IQVIA,SFTP Drop,chen598@iqvia.com,johanna@dr.com353@company.com,Engagement Data,Weekly Rep HCP Engagement Data,"Contains engagement data for Diab_1 in US, with fields: volume, price, rep.",gcs/engagement/diab_1/us/,s3,Inactive,08/26/2023,Contract expired on 08/26/2023,Beginning of week,Weekly,No,diab_1_us_engagement_z,diab_1_engagement_weekly_xform,diab_1_engagement_us_metrics_rpt,PII masked at source
Global Datawarehouse,Diab_1_476_Sales_qtr,Diab 1 476 Sales Qtr,xlsx,Turkey,Diab_1,"Country, Volume, Brand, Region, Price",Lakshya Mishra,AWS Data Exchange,aws765@vendor.net,IQVIA,Automated,smith@dr.com215@vendor.net,chen369@vendor.net,Sales Data,Regional Sales Data,"Contains sales data for Diab_1 in Turkey, with fields: region, price, volume.",gcs/sales/diab_1/turkey/,s3,Active,,,Monthly,Quarterly,Yes,diab_1_turkey_sales_z,diab_1_sales_quarterly_xform,diab_1_sales_turkey_metrics_rpt,Schema change expected next quarter
US Datawarehouse,Diab_1_477_Sales_weekly,Diab 1 477 Sales Weekly,psv,Turkey,Diab_1,"Volume, Units, Rep, Engagement, Brand",Sridhar,IMS Health,ims669@vendor.net,Oracle EBS,Automated,miguel362@company.com,lakshya201@vendor.net,Sales Data,Regional Sales Data,"Contains sales data for Diab_1 in Turkey, with fields: region, volume, revenue, hcp.",s3/sales/diab_1/turkey/,s3,Active,,,End of Month,Weekly,Yes,diab_1_turkey_sales_z,diab_1_sales_weekly_xform,diab_1_sales_turkey_metrics_rpt,Backfill required for last 3 months
Global Datawarehouse,CardioX_478_Marketing_weekly,Cardiox 478 Marketing Weekly,psv,France,CardioX,"Engagement, Rep, Units, Revenue",Sridhar,Snowflake External,snowflake898@dr.com,IQVIA,SFTP Drop,smith@dr.com123@vendor.net,johanna@dr.com143@dr.com,Marketing Data,Regional Sales Data,"Contains marketing data for CardioX in France, with fields: ta, price.",adls/marketing/cardiox/france/,s3,Active,,,End of Quarter,Weekly,No,cardiox_france_marketing_z,cardiox_marketing_weekly_xform,cardiox_marketing_france_metri_rpt,PII masked at source
US Datawarehouse,Diab_1_479_Engagement_qtr,Diab 1 479 Engagement Qtr,xlsx,US,Diab_1,"Country, Price, Volume, Engagement, Rep",Sridhar,IQVIA,iqvia445@company.com,IQVIA,Manual,jones@dr.com740@vendor.net,sridhar487@vendor.net,Engagement Data,Regional Sales Data,"Contains engagement data for Diab_1 in US, with fields: region, rep.",adls/engagement/diab_1/us/,s3,Pilot,,,End of Quarter,Quarterly,Yes,diab_1_us_engagement_z,diab_1_engagement_quarterly_xform,diab_1_engagement_us_metrics_rpt,Backfill required for last 3 months
Japan Datawarehouse,Diab_1_480_Engagement_weekly,Diab 1 480 Engagement Weekly,csv,Spain,Diab_1,"Engagement, Brand, Region",Sridhar,Veeva,veeva59@veeva.com,Salesforce,Automated,chen887@veeva.com,johanna@dr.com75@veeva.com,Engagement Data,Weekly Rep HCP Engagement Data,"Contains engagement data for Diab_1 in Spain, with fields: revenue, ta, rep, price.",s3/engagement/diab_1/spain/,s3,Active,,,Beginning of week,Weekly,Yes,diab_1_spain_engagement_z,diab_1_engagement_weekly_xform,diab_1_engagement_spain_metric_rpt,This file is set to expire by end of 2025
Japan Datawarehouse,All Brands_481_Sales_qtr,All Brands 481 Sales Qtr,csv,Turkey,All Brands,"Region, Rep, Price, Volume",Sridhar,Veeva,veeva911@iqvia.com,IQVIA,API Pull,jones@dr.com735@vendor.net,johanna@dr.com637@vendor.net,Sales Data,Regional Sales Data,"Contains sales data for All Brands in Turkey, with fields: engagement, volume.",gcs/sales/allbrands/turkey/,gcs,Inactive,11/08/2023,Contract expired on 11/08/2023,Beginning of week,Quarterly,No,all_brands_turkey_sales_z,all_brands_sales_quarterly_xform,all_brands_sales_turkey_metric_rpt,PII masked at source
Global Datawarehouse,All Brands_482_Inventory_weekly,All Brands 482 Inventory Weekly,csv,Australia,All Brands,"Units, Price, TA",Sridhar,Veeva,veeva945@iqvia.com,IQVIA,Automated,smith@dr.com198@company.com,chen172@company.com,Inventory Data,Regional Sales Data,"Contains inventory data for All Brands in Australia, with fields: price, engagement, rep.",s3/inventory/allbrands/australia/,s3,Active,,,End of Quarter,Weekly,No,all_brands_australia_inventory_z,all_brands_inventory_weekly_xform,all_brands_inventory_australia_rpt,Backfill required for last 3 months
US Datawarehouse,All Brands_483_Engagement_daily,All Brands 483 Engagement Daily,tsv,US,All Brands,"Price, Brand, Revenue, Country",Lakshya Mishra,IQVIA,iqvia44@company.com,SAP BW,Automated,jones9@veeva.com,miguel712@vendor.net,Engagement Data,Campaign Metrics,"Contains engagement data for All Brands in US, with fields: volume, ta, engagement, hcp.",s3/engagement/allbrands/us/,gcs,Inactive,11/15/2023,Contract expired on 11/15/2023,End of Quarter,Daily,No,all_brands_us_engagement_z,all_brands_engagement_daily_xform,,New processing pipeline in progress
LATAM Datawarehouse,Diab_1_484_Sales_qtr,Diab 1 484 Sales Qtr,psv,Turkey,Diab_1,"TA, Rep, Price",Lakshya Mishra,Veeva,veeva794@company.com,Veeva CRM,Manual,smith@dr.com358@dr.com,johanna@dr.com203@company.com,Sales Data,Regional Sales Data,"Contains sales data for Diab_1 in Turkey, with fields: region, revenue.",adls/sales/diab_1/turkey/,adls,Deprecated,08/07/2023,Replaced by new pipeline on 08/07/2023,End of Month,Quarterly,Yes,diab_1_turkey_sales_z,diab_1_sales_quarterly_xform,diab_1_sales_turkey_metrics_rpt,Backfill required for last 3 months
US Datawarehouse,All Brands_485_Engagement_weekly,All Brands 485 Engagement Weekly,tsv,Turkey,All Brands,"Region, Engagement, HCP",Maria,IQVIA,iqvia399@iqvia.com,Veeva CRM,Manual,jones@dr.com252@iqvia.com,johanna@dr.com692@company.com,Engagement Data,Weekly Rep HCP Engagement Data,"Contains engagement data for All Brands in Turkey, with fields: engagement, price, hcp.",s3/engagement/allbrands/turkey/,s3,Active,,,End of Month,Weekly,No,all_brands_turkey_engagement_z,all_brands_engagement_weekly_xform,all_brands_engagement_turkey_m_rpt,Backfill required for last 3 months
LATAM Datawarehouse,All Brands_486_Sales_qtr,All Brands 486 Sales Qtr,psv,US,All Brands,"Units, Revenue, Country",Smith,Veeva,veeva883@veeva.com,IQVIA,SFTP Drop,smith@dr.com408@vendor.net,johanna@dr.com468@company.com,Sales Data,Weekly Rep HCP Engagement Data,"Contains sales data for All Brands in US, with fields: price, hcp, region, engagement.",s3/sales/allbrands/us/,s3,Inactive,01/12/2025,Contract expired on 01/12/2025,Beginning of week,Quarterly,Yes,all_brands_us_sales_z,all_brands_sales_quarterly_xform,all_brands_sales_us_metrics_rpt,Backfill required for last 3 months
US Datawarehouse,Diab_1_487_Engagement_qtr,Diab 1 487 Engagement Qtr,psv,India,Diab_1,"Country, Region, Brand",Miguel,Snowflake External,snowflake855@iqvia.com,IQVIA,SFTP Drop,smith@dr.com267@iqvia.com,johanna@dr.com220@veeva.com,Engagement Data,Regional Sales Data,"Contains engagement data for Diab_1 in India, with fields: price, volume.",gcs/engagement/diab_1/india/,s3,Inactive,01/11/2023,Contract expired on 01/11/2023,Beginning of week,Quarterly,No,diab_1_india_engagement_z,diab_1_engagement_quarterly_xform,diab_1_engagement_india_metric_rpt,PII masked at source
APAC Datawarehouse,All Brands_488_Sales_weekly,All Brands 488 Sales Weekly,xlsx,Turkey,All Brands,"Volume, Rep, Region, Units, HCP",Ananya,Veeva,veeva782@vendor.net,SAP BW,Automated,jones@dr.com49@veeva.com,maria818@company.com,Sales Data,Regional Sales Data,"Contains sales data for All Brands in Turkey, with fields: revenue, rep, price.",adls/sales/allbrands/turkey/,s3,Inactive,01/17/2024,Contract expired on 01/17/2024,End of Quarter,Weekly,No,all_brands_turkey_sales_z,all_brands_sales_weekly_xform,all_brands_sales_turkey_metric_rpt,Backfill required for last 3 months
Japan Datawarehouse,All Brands_489_Engagement_weekly,All Brands 489 Engagement Weekly,psv,Turkey,All Brands,"Country, Rep, Region, Volume, Units",Lakshya Mishra,IQVIA,iqvia404@dr.com,Oracle EBS,Manual,maria66@vendor.net,johanna@dr.com883@company.com,Engagement Data,Product Inventory Snapshot,"Contains engagement data for All Brands in Turkey, with fields: price, ta.",adls/engagement/allbrands/turkey/,gcs,Deprecated,09/16/2024,Replaced by new pipeline on 09/16/2024,Beginning of week,Weekly,Yes,all_brands_turkey_engagement_z,all_brands_engagement_weekly_xform,all_brands_engagement_turkey_m_rpt,New processing pipeline in progress
US Datawarehouse,All Brands_490_Marketing_weekly,All Brands 490 Marketing Weekly,psv,Turkey,All Brands,"Volume, Country, TA, Engagement",Lakshya Mishra,IQVIA,iqvia44@company.com,Veeva CRM,Automated,sridhar890@company.com,johanna@dr.com536@dr.com,Marketing Data,Weekly Rep HCP Engagement Data,"Contains marketing data for All Brands in Turkey, with fields: ta, price, revenue.",s3/marketing/allbrands/turkey/,adls,Deprecated,01/15/2024,Replaced by new pipeline on 01/15/2024,Monthly,Weekly,No,all_brands_turkey_marketing_z,all_brands_marketing_weekly_xform,all_brands_marketing_turkey_me_rpt,Schema change expected next quarter
US Datawarehouse,NeuroMax_491_Inventory_qtr,Neuromax 491 Inventory Qtr,parquet,Turkey,NeuroMax,"Units, Volume, Revenue, Brand",Lakshya Mishra,Snowflake External,snowflake961@iqvia.com,Netsuite,API Pull,smith@dr.com469@veeva.com,johanna@dr.com48@iqvia.com,Inventory Data,Regional Sales Data,"Contains inventory data for NeuroMax in Turkey, with fields: rep, volume, price.",s3/inventory/neuromax/turkey/,s3,Pilot,,,Beginning of week,Quarterly,No,neuromax_turkey_inventory_z,neuromax_inventory_quarterly_xform,neuromax_inventory_turkey_metr_rpt,Schema change expected next quarter
EU Datawarehouse,CardioX_492_Engagement_qtr,Cardiox 492 Engagement Qtr,psv,Turkey,CardioX,"Engagement, Region, HCP, Price, Rep",Lakshya Mishra,IQVIA,iqvia816@dr.com,Veeva CRM,Manual,jones@dr.com226@veeva.com,johanna@dr.com506@dr.com,Engagement Data,Weekly Rep HCP Engagement Data,"Contains engagement data for CardioX in Turkey, with fields: volume, ta, rep, price.",s3/engagement/cardiox/turkey/,s3,Active,,,Monthly,Quarterly,Yes,cardiox_turkey_engagement_z,cardiox_engagement_quarterly_xform,cardiox_engagement_turkey_metr_rpt,Schema change expected next quarter
Japan Datawarehouse,Diab_1_493_Sales_weekly,Diab 1 493 Sales Weekly,psv,Turkey,Diab_1,"Units, Engagement, Volume, HCP, Revenue",Lakshya Mishra,IQVIA,iqvia213@iqvia.com,IQVIA,Manual,sridhar481@company.com,johanna@dr.com829@veeva.com,Sales Data,Weekly Rep HCP Engagement Data,"Contains sales data for Diab_1 in Turkey, with fields: revenue, ta.",gcs/sales/diab_1/turkey/,s3,Active,,,Monthly,Weekly,Yes,diab_1_turkey_sales_z,diab_1_sales_weekly_xform,diab_1_sales_turkey_metrics_rpt,PII masked at source
Global Datawarehouse,Diab_1_494_Inventory_weekly,Diab 1 494 Inventory Weekly,csv,Turkey,Diab_1,"Engagement, Price, Region, Revenue, Volume",Lakshya Mishra,Veeva,veeva116@iqvia.com,IQVIA,Manual,maria480@company.com,johanna@dr.com477@iqvia.com,Inventory Data,Regional Sales Data,"Contains inventory data for Diab_1 in Turkey, with fields: ta, hcp.",adls/inventory/diab_1/turkey/,s3,Pilot,,,End of Month,Weekly,Yes,diab_1_turkey_inventory_z,diab_1_inventory_weekly_xform,diab_1_inventory_turkey_metric_rpt,New processing pipeline in progress
APAC Datawarehouse,OncoPro_495_Engagement_qtr,Oncopro 495 Engagement Qtr,psv,Germany,OncoPro,"Brand, Country, Volume",Chen,IQVIA,iqvia466@vendor.net,Veeva CRM,Automated,jones@dr.com605@dr.com,akira877@veeva.com,Engagement Data,Weekly Rep HCP Engagement Data,"Contains engagement data for OncoPro in Germany, with fields: engagement, revenue.",s3/engagement/oncopro/germany/,s3,Active,,,End of Month,Quarterly,No,oncopro_germany_engagement_z,oncopro_engagement_quarterly_xform,oncopro_engagement_germany_met_rpt,Schema change expected next quarter
LATAM Datawarehouse,Dermalix_496_Sales_qtr,Dermalix 496 Sales Qtr,tsv,US,Dermalix,"Region, Units, Engagement, Country, Brand",Lakshya Mishra,IQVIA,iqvia840@vendor.net,IQVIA,Manual,smith@dr.com277@iqvia.com,johanna@dr.com103@dr.com,Sales Data,Regional Sales Data,"Contains sales data for Dermalix in US, with fields: price, engagement, volume, revenue.",adls/sales/dermalix/us/,s3,Inactive,01/25/2025,Contract expired on 01/25/2025,Beginning of week,Biweekly,Yes,dermalix_us_sales_z,dermalix_sales_biweekly_xform,dermalix_sales_us_metrics_rpt,PII masked at source
Japan Datawarehouse,Diab_1_497_Sales_qtr,Diab 1 497 Sales Qtr,psv,Turkey,Diab_1,"Rep, HCP, Engagement",Sridhar,Snowflake External,snowflake377@vendor.net,IQVIA,Manual,chen177@veeva.com,lakshya424@veeva.com,Sales Data,Monthly Claims Summary,"Contains sales data for Diab_1 in Turkey, with fields: rep, hcp.",s3/sales/diab_1/turkey/,s3,Active,,,Monthly,Quarterly,No,diab_1_turkey_sales_z,diab_1_sales_quarterly_xform,diab_1_sales_turkey_metrics_rpt,This file is set to expire by end of 2025
EU Datawarehouse,All Brands_498_Sales_qtr,All Brands 498 Sales Qtr,csv,Turkey,All Brands,"HCP, Region, Country, Engagement",Lakshya Mishra,Snowflake External,snowflake321@veeva.com,IQVIA,API Pull,smith@dr.com138@dr.com,johanna@dr.com845@dr.com,Sales Data,Weekly Rep HCP Engagement Data,"Contains sales data for All Brands in Turkey, with fields: revenue, ta, region, hcp.",gcs/sales/allbrands/turkey/,s3,Inactive,01/15/2025,Contract expired on 01/15/2025,Beginning of week,Quarterly,No,all_brands_turkey_sales_z,all_brands_sales_quarterly_xform,all_brands_sales_turkey_metric_rpt,Schema change expected next quarter
APAC Datawarehouse,All Brands_499_Engagement_weekly,All Brands 499 Engagement Weekly,csv,Turkey,All Brands,"Rep, Country, Engagement",Sridhar,Veeva,veeva306@company.com,Veeva CRM,Automated,jones@dr.com849@company.com,akira454@veeva.com,Engagement Data,Weekly Rep HCP Engagement Data,"Contains engagement data for All Brands in Turkey, with fields: region, price, engagement.",gcs/engagement/allbrands/turkey/,s3,Active,,,Beginning of week,Weekly,Yes,all_brands_turkey_engagement_z,all_brands_engagement_weekly_xform,all_brands_engagement_turkey_m_rpt,PII masked at source
Japan Datawarehouse,Diab_1_500_Sales_weekly,Diab 1 500 Sales Weekly,tsv,Turkey,Diab_1,"Region, Price, Volume, Country",Sridhar,Veeva,veeva878@vendor.net,Veeva CRM,API Pull,chen550@veeva.com,johanna@dr.com827@iqvia.com,Sales Data,Product Inventory Snapshot,"Contains sales data for Diab_1 in Turkey, with fields: hcp, ta, price, region.",adls/sales/diab_1/turkey/,s3,Inactive,06/02/2024,Contract expired on 06/02/2024,End of week,Weekly,No,diab_1_turkey_sales_z,diab_1_sales_weekly_xform,,PII masked at source
LATAM Datawarehouse,Diab_1_501_Sales_qtr,Diab 1 501 Sales Qtr,psv,Turkey,Diab_1,"Price, Volume, Brand, Region",Lakshya Mishra,Veeva,veeva353@vendor.net,IQVIA,Automated,lakshya382@company.com,johanna@dr.com768@dr.com,Sales Data,Regional Sales Data,"Contains sales data for Diab_1 in Turkey, with fields: hcp, rep, engagement.",s3/sales/diab_1/turkey/,s3,Inactive,08/09/2023,Contract expired on 08/09/2023,Monthly,Biweekly,No,diab_1_turkey_sales_z,diab_1_sales_biweekly_xform,diab_1_sales_turkey_metrics_rpt,Schema change expected next quarter
